catalogNumber,large JPG,thumbnail,webview
LSU00127201,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127201_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127201_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127201_5_WR.JPG
LSU00127202,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127202_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127202_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127202_5_WR.JPG
LSU00127203,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127203_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127203_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127203_5_WR.JPG
LSU00127257,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127257_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127257_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127257_5_WR.JPG
LSU00127258,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127258_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127258_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127258_5_WR.JPG
LSU00127260,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127260_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127260_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/127/LSU00127260_5_WR.JPG
LSU00132054,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_5_WR.JPG
LSU00132054,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_6_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_6_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_6_WR.JPG
LSU00132054,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_7_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_7_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_7_WR.JPG
LSU00132054,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_8_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_8_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_8_WR.JPG
LSU00132054,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_9_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_9_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/132/LSU00132054_9_WR.JPG
LSU00135464,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135464_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135464_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135464_5_WR.JPG
LSU00135465,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135465_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135465_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135465_5_WR.JPG
