catalogNumber,large JPG,thumbnail,webview
LSU00057638,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/057/LSU00057638_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/057/LSU00057638_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/057/LSU00057638_5_WR.JPG
LSU00058647,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/058/LSU00058647_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/058/LSU00058647_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/058/LSU00058647_5_WR.JPG
LSU00073708,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/073/LSU00073708_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/073/LSU00073708_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/073/LSU00073708_5_WR.JPG
LSU00091853,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091853_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091853_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091853_5_WR.JPG
LSU00091854,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091854_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091854_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091854_5_WR.JPG
LSU00091855,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091855_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091855_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091855_5_WR.JPG
LSU00091856,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091856_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091856_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091856_5_WR.JPG
LSU00091857,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091857_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091857_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091857_5_WR.JPG
LSU00091858,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091858_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091858_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091858_5_WR.JPG
LSU00091859,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091859_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091859_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091859_5_WR.JPG
LSU00091862,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091862_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091862_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/091/LSU00091862_5_WR.JPG
