id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,observerUid,processingStatus,duplicateQuantity,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey-dbpk,recordId,references
4214523,LSU,Bryophytes,LSU(NO),PreservedSpecimen,cd6a990e-d53f-44c5-a911-15a607ed7e21,LSU00000033,209320,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula pagorum,161186,Brid.,Tortula,pagorum,,,,,,,moss,,,Faith Pennebaker,,s.n.,3/26/37,1937,3,26,85,,,,Tree near campus,Elm bark,,,,,,,,,,,,,,USA,Texas,,,Near University of Texas Austin campus,,0,,,,,,,,,,,,,,,,,,,,,stage 2,,agrif48,7/18/17 22:03,7/19/17 16:02,7/19/17 16:02,,urn:uuid:cd6a990e-d53f-44c5-a911-15a607ed7e21,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214523
4214524,LSU,Bryophytes,LSU(NO),PreservedSpecimen,034befcd-9e7a-492d-ba7c-0b1f29d3de6b,LSU00000044,208616,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Orthodontium gracile,160060,(Wilson) Schw_gr. ex B.S.G.,Orthodontium,gracile,,,Leo F. Koch,,,,moss,,,Leo F. Koch,,3662,4/6/51,1951,4,6,96,,,In western North America this moss is closely associated with the forests of Sequoia sempervirens. For further details see Science 114:571-2 and Madrono 11:209-214. [Authorship not found in Symbiota's Scientific Name Thesaurus.],Forming sod-like colony on the base of a large redwood (Sequoia sempervirens) in deep canyon,Base of a large redwood,,,,,,,,,,,,,,USA,California,Monterey,,South side of Big Sur River just east of Big Sur State Park,,0,,36.25191,-121.69591,WGS84,6800,,cmozzicato (2017-09-18 09:52:36),,2017-09-18; ACME Mapper,,lat/long = midpoint of Big Sur River E of Big Sur State Park; uncertainty = extent of Big Sur River E of Big Sur State Park,,,,,,,,,,stage 3,,agrif48,7/18/17 22:03,9/18/17 12:52,9/18/17 12:52,,urn:uuid:034befcd-9e7a-492d-ba7c-0b1f29d3de6b,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214524
4214525,LSU,Bryophytes,LSU(NO),PreservedSpecimen,3a85c90a-6f94-4276-b93f-1f4b967e02f7,LSU00066666,209077,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum capillaceum var. tenellum,162679,(Schimp.) Andrews,Sphagnum,capillaceum,var.,tenellum,N.L.B.,,,,moss,,,Frederick W. Gray,,s.n.,9/9/39,1939,9,9,252,,,,In roadside ditch,,,,,,,,,,,,,,,USA,North Carolina,Bladen,,Big Swamp,,0,,,,,,,,,,,,,,,,,,,,,stage 2,,agrif48,7/18/17 22:03,7/24/17 11:25,7/24/17 11:25,,urn:uuid:3a85c90a-6f94-4276-b93f-1f4b967e02f7,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214525
4214526,LSU,Bryophytes,LSU(NO),PreservedSpecimen,54a45795-321a-4b5a-80c8-c837a0f8d4e3,LSU00099999,209406,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Zygodon obtusifolius,237945,Hook.,Zygodon,obtusifolius,,,,,,,moss,,,Sven Berggren,,s.n.,1874-00-00,1874,,,,,1874,,,Papakauri,,,,,,,,,,,,,,New Zealand,,,,Taheke,,0,,,,,,,,,,,,,,,,,,,,,stage 2,,agrif48,7/18/17 22:03,7/19/17 10:18,7/19/17 10:18,,urn:uuid:54a45795-321a-4b5a-80c8-c837a0f8d4e3,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214526
4214527,LSU,Bryophytes,LSU(NO),PreservedSpecimen,3fd0ced5-02d4-4a0d-87b5-469ed1cbbdbc,LSU00077777,209190,Plantae,Bryophyta,Bryopsida,Tetraphidales,Tetraphidaceae,Tetraphis pellucida,161096,Hedw.,Tetraphis,pellucida,,,,,,,moss,,,Leo F. Koch,,4058,6/11/51,1951,6,11,162,,,,"On large, rotten, spruce stump in dense shade","On large, rotten, spruce stump",,,,,,,,,,,,,,USA,California,Humboldt,,"Near Park office, Patrick Point State Park",,0,,41.136429,-124.155407,WGS84,612,,cmozzicato (2017-09-15 10:32:39),,2017-09-15; GeoLocate,,lat/long = center of Patrick Point State Park; uncertainty = extent of Patrick Point State Park,,,,,,,,,,stage 3,,agrif48,7/18/17 22:03,9/15/17 13:32,9/15/17 13:32,,urn:uuid:3fd0ced5-02d4-4a0d-87b5-469ed1cbbdbc,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214527
4214528,LSU,Bryophytes,LSU(NO),PreservedSpecimen,7d4596a7-cbfd-4a05-9ffc-1053653b2c36,LSU00022222,208825,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Pogonatum brachyphyllum,160357,(Michx.) P. Beauv.,Pogonatum,brachyphyllum,,,,,,,moss,,,Faith Pennebaker,,s.n.,2/25/40,1940,2,25,56,,,,Ditchsides through pinelands,,,,,,,,,,,,,,,USA,Louisiana,Saint Tammany,,Slidell,,0,,,,,,,,,,,,,,,,,,,,,stage 2,,agrif48,7/18/17 22:03,7/28/17 17:50,7/28/17 17:50,,urn:uuid:7d4596a7-cbfd-4a05-9ffc-1053653b2c36,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214528
4214529,LSU,Bryophytes,LSU(NO),PreservedSpecimen,47975056-c224-4c2b-8155-59e2997cede3,NO0110111,208740,Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium denticulatum,160298,(Hedw.) Schimp.,Plagiothecium,denticulatum,,,H.A. Crum,,,,moss,,,Roy F. Cain,,3949,9/1/49,1949,9,1,244,,,[Authorship not found in Symbiota's Scientific Name Thesaurus.],,On humus on rock,,,,,,,,,,,,,,Canada,Ontario,Manitoulin,,"Dreamers' Rock, Birch Island Lodge",,0,,,,,,,,,,,,,,,,,,,,,pending review,,agrif48,7/18/17 22:03,8/16/17 11:24,8/16/17 11:24,,urn:uuid:47975056-c224-4c2b-8155-59e2997cede3,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214529
4214530,LSU,Bryophytes,LSU(NO),PreservedSpecimen,dcb29544-b095-437e-a600-d5a10365420a,NO0022022,209295,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortella tortuosa,161155,(Hedw.) Limpr.,Tortella,tortuosa,,,Roy F. Cain,,,,moss,,,Roy F. Cain,,5051,4/8/54,1954,4,8,98,,,[Authorship not found in Symbiota's Scientific Name Thesaurus.],,On crystalline limestone,,,,,,,,,,,,,,Canada,Ontario,Leeds,,Chaffeys Locks,,0,,43.583,-76.317,,,,,,,,,,,,,,,,,,pending review,,agrif48,7/18/17 22:03,9/21/17 15:48,9/21/17 15:48,,urn:uuid:dcb29544-b095-437e-a600-d5a10365420a,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214530
4214531,LSU,Bryophytes,LSU(NO),PreservedSpecimen,6d5b4e8c-2afd-450f-95c8-af99977bdbb3,NO0033003,209161,Plantae,Bryophyta,Bryopsida,Pottiales,Calymperaceae,Syrrhopodon floridanus,161052,Sull. in Sull. & Lesq.,Syrrhopodon,floridanus,,,William D. Reese,,,,moss,,,William D. Reese,,1543,12/20/57,1957,12,20,354,,,,,On trunk of palmetto,,,,,,,,,,,,,,USA,Louisiana,Plaquemines,,"W bank of Mississippi River, ca. 1 mile N of Pilottown",,0,,,,,,,,,,,,,,,,,,,,,stage 2,,agrif48,7/18/17 22:03,7/21/17 13:42,7/21/17 13:42,,urn:uuid:6d5b4e8c-2afd-450f-95c8-af99977bdbb3,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214531
4214530,LSU,Bryophytes,LSU(NO),PreservedSpecimen,dcb29544-b095-437e-a600-d5a10365420a,NO0055055,209295,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortella tortuosa,161155,(Hedw.) Limpr.,Tortella,tortuosa,,,Roy F. Cain,,,,moss,,,Roy F. Cain,,5051,4/8/54,1954,4,8,98,,,[Authorship not found in Symbiota's Scientific Name Thesaurus.],,On crystalline limestone,,,,,,,,,,,,,,Canada,Ontario,Leeds,,Chaffeys Locks,,0,,43.583,-76.317,,,,,,,,,,,,,,,,,,pending review,,agrif48,7/18/17 22:03,9/21/17 15:48,9/21/17 15:48,,urn:uuid:dcb29544-b095-437e-a600-d5a10365420a,http://bryophyteportal.org/portal/collections/individual/index.php?occid=4214530
